Name,Once upon a time in Hollywood (2019),Dark Knight (2008),Farenheit 9/11 (2004),Gladiator (2000),No country for old men (2007),Ocean's 8,Call me by your name (2018),Singin' in the Rain (1952),Groundhog Day (1993),The artist (2011),As good as it gets (1997),Planet Earth (documentary),Avatar: the last airbender (TV series),Ringu (1998),Paranormal Activity,Marvelous Mrs. Maisel (TV),Big Little Lies (TV),Parks and Recreation (TV),Friends (TV),Veronica Mars (TV),"Battlestar Galactica (TV, 2004)",Brokeback Mountain (2005),Sense8 (TV),Bohemian Rhapsody (2019),Godfather,Ghost in the shell,Attack on Titan
Brown_Jenny2,3,4,3,4,5,3,3,4,4,3,3,5,5,3,3,4,4,5,2,3,4,5,3,4,5,4,4
S3,1,1,5,1,1,3,3,2,5,3,3,4,5,1,1,3,3,3,4,1,1,1,1,5,3,1,1
D4,3,4,3,4,2,4,3,2,5,1,4,5,3,2,2,2,3,5,4,3,3,4,4,2,3,3,4
K5,3,4,3,4,3,3,3,2,2,3,3,5,5,3,3,3,3,3,3,2,5,3,3,3,2,2,2
C6,4,5,3,3,3,4,3,3,3,2,4,4,5,4,3,2,2,2,3,2,2,3,2,2,4,4,4
K7,1,4,3,3,4,3,3,4,5,4,3,5,5,3,3,3,3,3,3,3,3,3,3,5,4,3,5
A8,4,5,3,3,5,2,3,3,3,2,3,3,5,5,2,3,2,5,2,1,4,3,3,4,5,5,3
N9,3,4,3,4,5,2,2,2,2,4,2,4,4,2,1,2,2,4,3,1,4,3,3,4,4,4,4
Y10,2,3,1,2,3,3,2,3,2,2,1,3,2,2,2,1,2,1,2,3,2,2,1,2,3,2,4
J11,3,5,4,5,5,3,3,4,5,3,3,5,5,4,2,3,3,5,3,3,4,4,3,4,5,5,5
R12,3,4,3,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,4,3,3,3,3,3,3,3,3
Z13,2,2,2,3,3,5,1,1,2,1,2,4,5,3,1,2,2,1,5,1,3,4,1,5,3,1,1
J14,3,3,4,3,4,5,3,4,5,4,3,5,5,4,1,2,2,4,5,3,3,3,3,5,3,5,1
J15,3,4,5,4,4,4,3,3,3,3,3,3,4,2,1,2,2,1,3,2,2,4,2,2,4,4,3
A16,3,4,4,3,3,4,3,3,3,4,3,4,4,3,2,2,3,4,4,3,3,3,3,3,3,4,5
D17,3,3,4,4,2,5,4,5,3,3,2,4,5,3,3,3,3,5,3,3,3,3,3,3,4,3,4
D18,3,4,3,3,3,3,3,3,3,3,3,4,4,3,1,3,3,3,3,3,3,3,3,3,3,3,3
K19,1,1,1,1,1,1,1,1,5,1,1,1,5,1,1,1,1,1,1,4,5,2,1,1,5,1,4
B20,3,5,3,4,3,2,2,2,5,2,4,3,1,1,3,4,1,3,3,1,3,1,1,3,5,2,3
